model,sample,f1,precision,recall,area_ink_pct
anime_trained,lineart_003_018,0.08553076402974982,0.05436962750716332,0.20036958817317846,36.799479166666664
anime_trained,lineart_008_023,0.1994125108485213,0.12395733908785327,0.5096399931752261,90.66319444444444
anime_trained,lineart_008_014,0.19460533405172414,0.11272798205403296,0.7110865017841762,62.76171874999999
anime_trained,lineart_001_012,0.14745292714615368,0.08283946313404218,0.670192138198484,53.99131944444444
anime_trained,lineart_001_014,0.11079007671615024,0.06329690346083788,0.44373503591380686,29.184895833333336
coarse_trained,lineart_003_018,0.07928919793326572,0.04851959104071863,0.21673706441393875,38.28342013888889
coarse_trained,lineart_008_023,0.25051629702792494,0.1699872052641199,0.4760279815731104,96.04427083333333
coarse_trained,lineart_008_014,0.1847025875802854,0.1069237340789065,0.6776178171527009,78.75477430555556
coarse_trained,lineart_001_012,0.1593598013176503,0.09906509992280642,0.4071919619249075,98.34592013888889
coarse_trained,lineart_001_014,0.09531838920849038,0.05255817769148732,0.5113061984570364,36.21831597222222
sd15_lineart_trained,lineart_003_018,0.10146630562509579,0.06290782388343363,0.26214361140443504,34.56901041666667
sd15_lineart_trained,lineart_008_023,0.21918476934342201,0.14390256930719514,0.4596485241426378,92.69227430555556
sd15_lineart_trained,lineart_008_014,0.19831389999812238,0.11701231941859434,0.6498092777162544,59.072916666666664
sd15_lineart_trained,lineart_001_012,0.163212988677633,0.09869343766147487,0.47135554380398376,92.3203125
sd15_lineart_trained,lineart_001_014,0.0967099928745178,0.05327558202490525,0.5235434956105347,37.18446180555556
manga_trained,lineart_003_018,0.10149929888900874,0.06377931408431611,0.24841605068637804,33.00737847222222
manga_trained,lineart_008_023,0.13612165687501326,0.07772234063166053,0.547517488483194,88.88715277777777
manga_trained,lineart_008_014,0.17623190098085006,0.0999751593938892,0.742832533530208,75.07291666666667
manga_trained,lineart_001_012,0.15689734269682745,0.09808506883162725,0.39185616076150187,96.82161458333334
manga_trained,lineart_001_014,0.0757110914669024,0.04705274043433299,0.19366852886405958,23.367621527777775
manga_rank32_trained,lineart_003_018,0.09726811560478428,0.05904288377874456,0.27587117212249207,35.225260416666664
manga_rank32_trained,lineart_008_023,0.13522089333658774,0.0731155010974966,0.8979696297560144,73.86848958333333
manga_rank32_trained,lineart_008_014,0.20488544422270694,0.11717450543228226,0.8148148148148148,64.25303819444444
manga_rank32_trained,lineart_001_012,0.17053128846601684,0.10510128762404658,0.45178917680239733,95.82248263888889
manga_rank32_trained,lineart_001_014,0.09769341231376771,0.05334607562057389,0.5791433891992551,36.645833333333336
sdxl_trained,lineart_003_018,0.0443213296398892,0.08846761453396525,0.029567053854276663,98.86675347222223
sdxl_trained,lineart_008_023,0.134513581532587,0.09019493744544661,0.26445998976283913,80.06901041666666
sdxl_trained,lineart_008_014,0.16872577519379844,0.1661299940369708,0.17140396210163653,16.43359375
sdxl_trained,lineart_001_012,0.048922800718132854,0.0673047236801482,0.03842763969680945,82.89713541666667
sdxl_trained,lineart_001_014,0.07598451084971142,0.052377115229653506,0.13833466347432827,73.79123263888889
sdxl_manga_trained,lineart_003_018,0.06262753099984304,0.04456109001563547,0.10533262935586062,38.25477430555556
sdxl_manga_trained,lineart_008_023,0.09856187597325274,0.06736367620359357,0.18358641869988057,45.697916666666664
sdxl_manga_trained,lineart_008_014,0.14880425155004431,0.1667175572519084,0.1343669250645995,22.89670138888889
sdxl_manga_trained,lineart_001_012,0.17354327088840363,0.1287407281098133,0.2661731006522122,57.61501736111111
sdxl_manga_trained,lineart_001_014,0.12953339532848313,0.08153146949455997,0.3149773876030859,47.86197916666667
manga_epoch2_trained,lineart_003_018,0.09600654855873239,0.061659782200525724,0.21673706441393875,40.12630208333333
manga_epoch2_trained,lineart_008_023,0.14759422917138756,0.09477615559974778,0.33339020644941136,49.73611111111111
manga_epoch2_trained,lineart_008_014,0.19398375843531968,0.11477295797523178,0.6260612772240679,64.25434027777777
manga_epoch2_trained,lineart_001_012,0.11567919711242186,0.06939163498098859,0.34743521946060285,55.045138888888886
manga_epoch2_trained,lineart_001_014,0.09543962952740209,0.05393788130892956,0.41393987762702844,33.79817708333333
manga_consistency_trained,lineart_003_018,0.10805289753789915,0.06784123126771972,0.26531151003167897,31.938802083333336
manga_consistency_trained,lineart_008_023,0.12841253791708798,0.07246472227708649,0.5633850878689644,85.82204861111111
manga_consistency_trained,lineart_008_014,0.19805879380347466,0.11536743808363784,0.6992740248554202,58.66493055555555
manga_consistency_trained,lineart_001_012,0.19235561271653068,0.12458350687213661,0.4218226687819496,87.43185763888889
manga_consistency_trained,lineart_001_014,0.07865342049724611,0.048761807505744194,0.20324554402766692,23.194010416666664
manga_nomangaword_trained,lineart_003_018,0.10799113813179452,0.06708917482875616,0.27666314677930304,33.131510416666664
manga_nomangaword_trained,lineart_008_023,0.1430110306790762,0.08183947725311305,0.5662856167889438,51.79253472222223
manga_nomangaword_trained,lineart_008_014,0.193529843834829,0.11119470082019854,0.7456626061277224,67.13758680555556
manga_nomangaword_trained,lineart_001_012,0.17757215245648822,0.10808429118773946,0.4972677595628415,98.11154513888889
manga_nomangaword_trained,lineart_001_014,0.08619655556507583,0.05137108716744115,0.26762436818302743,25.742187500000004
