model,sample,f1,precision,recall,area_ink_pct
anime_trained,lineart_003_018,0.08553076402974982,0.05436962750716332,0.20036958817317846,36.799479166666664
anime_trained,lineart_008_023,0.1994125108485213,0.12395733908785327,0.5096399931752261,90.66319444444444
anime_trained,lineart_008_014,0.19460533405172414,0.11272798205403296,0.7110865017841762,62.76171874999999
anime_trained,lineart_001_012,0.14745292714615368,0.08283946313404218,0.670192138198484,53.99131944444444
anime_trained,lineart_001_014,0.11079007671615024,0.06329690346083788,0.44373503591380686,29.184895833333336
coarse_trained,lineart_003_018,0.07928919793326572,0.04851959104071863,0.21673706441393875,38.28342013888889
coarse_trained,lineart_008_023,0.25051629702792494,0.1699872052641199,0.4760279815731104,96.04427083333333
coarse_trained,lineart_008_014,0.1847025875802854,0.1069237340789065,0.6776178171527009,78.75477430555556
coarse_trained,lineart_001_012,0.1593598013176503,0.09906509992280642,0.4071919619249075,98.34592013888889
coarse_trained,lineart_001_014,0.09531838920849038,0.05255817769148732,0.5113061984570364,36.21831597222222
sd15_lineart_trained,lineart_003_018,0.10146630562509579,0.06290782388343363,0.26214361140443504,34.56901041666667
sd15_lineart_trained,lineart_008_023,0.21918476934342201,0.14390256930719514,0.4596485241426378,92.69227430555556
sd15_lineart_trained,lineart_008_014,0.19831389999812238,0.11701231941859434,0.6498092777162544,59.072916666666664
sd15_lineart_trained,lineart_001_012,0.163212988677633,0.09869343766147487,0.47135554380398376,92.3203125
sd15_lineart_trained,lineart_001_014,0.0967099928745178,0.05327558202490525,0.5235434956105347,37.18446180555556
manga_trained,lineart_003_018,0.10149929888900874,0.06377931408431611,0.24841605068637804,33.00737847222222
manga_trained,lineart_008_023,0.13612165687501326,0.07772234063166053,0.547517488483194,88.88715277777777
manga_trained,lineart_008_014,0.17623190098085006,0.0999751593938892,0.742832533530208,75.07291666666667
manga_trained,lineart_001_012,0.15689734269682745,0.09808506883162725,0.39185616076150187,96.82161458333334
manga_trained,lineart_001_014,0.0757110914669024,0.04705274043433299,0.19366852886405958,23.367621527777775
sdxl_trained,lineart_003_018,0.0443213296398892,0.08846761453396525,0.029567053854276663,98.86675347222223
sdxl_trained,lineart_008_023,0.134513581532587,0.09019493744544661,0.26445998976283913,80.06901041666666
sdxl_trained,lineart_008_014,0.16872577519379844,0.1661299940369708,0.17140396210163653,16.43359375
sdxl_trained,lineart_001_012,0.048922800718132854,0.0673047236801482,0.03842763969680945,82.89713541666667
sdxl_trained,lineart_001_014,0.07598451084971142,0.052377115229653506,0.13833466347432827,73.79123263888889
sdxl_manga_trained,lineart_003_018,0.06262753099984304,0.04456109001563547,0.10533262935586062,38.25477430555556
sdxl_manga_trained,lineart_008_023,0.09856187597325274,0.06736367620359357,0.18358641869988057,45.697916666666664
sdxl_manga_trained,lineart_008_014,0.14880425155004431,0.1667175572519084,0.1343669250645995,22.89670138888889
sdxl_manga_trained,lineart_001_012,0.17354327088840363,0.1287407281098133,0.2661731006522122,57.61501736111111
sdxl_manga_trained,lineart_001_014,0.12953339532848313,0.08153146949455997,0.3149773876030859,47.86197916666667
