sample,model,precision_2px,recall_2px,f1_2px,chamfer_px,pred_ink,target_ink,ink_ratio
lineart_004_002,combined_koma_lucy_mild_msgan_20260729,0.23693516699410608,0.48287860814551203,0.3178903422253812,6.015308618545532,0.0994140625,0.0548828125,1.8113879003558717
lineart_004_002,combined_koma_lucy_mild_noadv_20260801,0.24307036247334754,0.13997627520759193,0.17764982435751828,7.8324785232543945,0.012213541666666666,0.0548828125,0.22253855278766307
lineart_004_002,combined_koma_direct_unet_20260801,0.7794117647058824,0.009252669039145907,0.018288232093325724,10.214346408843994,0.0002951388888888889,0.0548828125,0.005377619612495057
lineart_004_003,combined_koma_lucy_mild_msgan_20260729,0.38701224722301336,0.642337995480364,0.48300891337957774,3.7575809955596924,0.07619357638888889,0.07106336805555556,1.072192023453246
lineart_004_003,combined_koma_lucy_mild_noadv_20260801,0.34121274409044194,0.13577230806816099,0.1942502877093336,7.014641523361206,0.008446180555555556,0.07106336805555556,0.1188542112013681
lineart_004_003,combined_koma_direct_unet_20260801,0.0,0.0,0.0,nan,0.0,0.07106336805555556,0.0
lineart_004_006,combined_koma_lucy_mild_msgan_20260729,0.326947188926225,0.6325117467644876,0.4310719925050092,4.130936861038208,0.08654079861111111,0.05265190972222222,1.6436402604896545
lineart_004_006,combined_koma_lucy_mild_noadv_20260801,0.31072210065645517,0.15093561948726403,0.2031766423677086,6.79864501953125,0.009917534722222222,0.05265190972222222,0.1883603989778254
lineart_004_006,combined_koma_direct_unet_20260801,0.5,0.0022257027450333857,0.004431678292983176,11.479074120521545,8.680555555555556e-05,0.05265190972222222,0.00164866870002473
lineart_004_008,combined_koma_lucy_mild_msgan_20260729,0.2896841673502871,0.4020746420115007,0.33674933027950915,5.671246528625488,0.08465277777777777,0.07698784722222222,1.0995602660953883
lineart_004_008,combined_koma_lucy_mild_noadv_20260801,0.22895927601809954,0.1188409065283572,0.15646758849203776,9.27505874633789,0.00959201388888889,0.07698784722222222,0.12459127297327771
lineart_004_008,combined_koma_direct_unet_20260801,0.45149253731343286,0.01820949374224828,0.03500708955591523,11.120184659957886,0.0023263888888888887,0.07698784722222222,0.030217611906641104
lineart_004_009,combined_koma_lucy_mild_msgan_20260729,0.3159347553324969,0.6544493973914479,0.42614733487138307,4.393387675285339,0.10377604166666667,0.0788671875,1.3158329205877497
lineart_004_009,combined_koma_lucy_mild_noadv_20260801,0.2739541160593792,0.14308513565571515,0.18798595910860177,7.37860894203186,0.012864583333333334,0.0788671875,0.16311705464751527
lineart_004_009,combined_koma_direct_unet_20260801,0.14583333333333334,0.0014858841010401188,0.0029417944946417314,16.44965887069702,0.00020833333333333335,0.0788671875,0.0026415717351824337
lineart_004_010,combined_koma_lucy_mild_msgan_20260729,0.4231907025884839,0.7618639528655597,0.5441331165717176,3.025978446006775,0.08216145833333334,0.040516493055555554,2.0278521692554903
lineart_004_010,combined_koma_lucy_mild_noadv_20260801,0.42961061189559263,0.24520621317621855,0.3122126994152115,5.729424953460693,0.010143229166666667,0.040516493055555554,0.2503481521156936
lineart_004_010,combined_koma_direct_unet_20260801,0.7291666666666666,0.015532940546331012,0.03041790910589328,10.126855075359344,0.00020833333333333335,0.040516493055555554,0.0051419389394750945
lineart_004_013,combined_koma_lucy_mild_msgan_20260729,0.3591855410661176,0.6475318731611638,0.4620642951676207,4.155871152877808,0.09485677083333334,0.06638454861111111,1.4288983327884932
lineart_004_013,combined_koma_lucy_mild_noadv_20260801,0.2731936725096195,0.13278849297155934,0.1787121659342934,7.779026746749878,0.010151909722222222,0.06638454861111111,0.15292579274272639
lineart_004_013,combined_koma_direct_unet_20260801,0.041666666666666664,0.00013076168682576005,0.0002607052075865215,18.423598289489746,0.00010416666666666667,0.06638454861111111,0.0015691402419091209
lineart_004_020,combined_koma_lucy_mild_msgan_20260729,0.2450451145214776,0.5504645437941713,0.3391251024146168,6.293236017227173,0.11256076388888889,0.05465711805555556,2.0593980782974666
lineart_004_020,combined_koma_lucy_mild_noadv_20260801,0.18124207858048164,0.12983403478122765,0.15129024263511168,9.635741233825684,0.0102734375,0.05465711805555556,0.1879615659493369
lineart_004_020,combined_koma_direct_unet_20260801,0.023465703971119134,0.0005558643690939411,0.001086003090931874,14.426026821136475,0.0024045138888888888,0.05465711805555556,0.04399269435400619
