sample,model,edge_precision,edge_recall,edge_f1,chamfer,rough_edge_density,line_edge_density,density_ratio,agreement_score
lineart_004_002,combined_koma_direct_unet_finegrid_20260802_ep005,0.0,0.0,0.0,20.0,0.09240451388888889,0.002092013888888889,0.0226397369657116,-0.803043891506954
lineart_004_002,combined_koma_direct_unet_finegrid_20260802_ep010,0.0,0.0,0.0,20.0,0.09240451388888889,0.0,0.0,-1.605240844637142
lineart_004_002,combined_koma_direct_unet_finegrid_20260802_ep015,0.0,0.0,0.0,20.0,0.09240451388888889,0.0,0.0,-1.605240844637142
lineart_004_002,combined_koma_direct_unet_finegrid_20260802_ep020,0.0,0.0,0.0,20.0,0.09240451388888889,0.0,0.0,-1.605240844637142
lineart_004_002,combined_koma_direct_unet_finegrid_20260802_ep025,0.8818181818181818,0.01902301550023485,0.03724261499374312,10.341199398040771,0.09240451388888889,0.0014322916666666666,0.015500234852043212,-0.5546393782314362
lineart_004_002,combined_koma_direct_unet_finegrid_20260802_ep030,0.6379757785467128,0.10958196336308126,0.18703742726986586,8.608710289001465,0.09240451388888889,0.010034722222222223,0.10859558478158761,-0.20579029220279135
lineart_004_002,combined_koma_direct_unet_finegrid_20260802_ep035,0.6024993991828888,0.18957256928135274,0.28840146764700963,8.569950103759766,0.09240451388888889,0.018059895833333332,0.19544387036167213,-0.05644584885935122
lineart_004_002,combined_koma_direct_unet_finegrid_20260802_ep040,0.7054888845170175,0.2644903710662283,0.3847402215561948,6.4207106828689575,0.09240451388888889,0.022061631944444444,0.23875058713010805,0.10963558724922107
lineart_004_002,combined_koma_direct_unet_finegrid_20260802_ep045,0.6715432649420161,0.2670267731329263,0.3821132654615981,6.591275095939636,0.09240451388888889,0.024327256944444445,0.26326914044152183,0.11056511427260596
lineart_004_002,combined_koma_direct_unet_finegrid_20260802_ep050,0.7243992606284658,0.2770784405824331,0.4008385154283822,6.508394837379456,0.09240451388888889,0.023480902777777778,0.2541099107562236,0.12852957361013598
lineart_004_002,combined_koma_direct_unet_finegrid_20260802_ep055,0.6906725888324873,0.3043682480037576,0.4225330218115656,6.30923593044281,0.09240451388888889,0.02736111111111111,0.2961014560826679,0.16743787344251054
lineart_004_002,combined_koma_direct_unet_finegrid_20260802_ep060,0.6018333333333333,0.23875058713010802,0.341876779200305,7.602323293685913,0.09240451388888889,0.026041666666666668,0.28182245185533117,0.05050045608397055
lineart_004_002,combined_koma_direct_unet_200ep_20260801_ep020,0.0,0.0,0.0,20.0,0.09240451388888889,0.0,0.0,-1.605240844637142
lineart_004_002,combined_koma_direct_unet_200ep_20260801_ep040,0.6838487972508591,0.2796618130577736,0.39697828430823995,6.4214946031570435,0.09240451388888889,0.025260416666666667,0.27336777829967124,0.13268594185635052
lineart_004_002,combined_koma_direct_unet_200ep_20260801_ep060,0.5985019785189373,0.28431188351338654,0.3854974012471433,6.913610458374023,0.09240451388888889,0.030711805555555555,0.3323626115547205,0.12453484357916476
lineart_004_002,combined_koma_direct_unet_200ep_20260801_ep080,0.5954900478710002,0.29628933771723814,0.3956973097881668,7.020059585571289,0.09240451388888889,0.034453125,0.3728511038046031,0.1412697301853234
lineart_004_002,combined_koma_direct_unet_200ep_20260801_ep100,0.6133053839364518,0.34039455143259745,0.43780187732834486,6.485789060592651,0.09240451388888889,0.03934027777777778,0.4257397839361203,0.20734299439915396
lineart_004_002,combined_koma_direct_unet_200ep_20260801_ep120,0.6308129215477458,0.340864255519023,0.4425782182601929,6.238822937011719,0.09240451388888889,0.0366796875,0.39694692343823396,0.2126914287274565
lineart_004_002,combined_koma_direct_unet_200ep_20260801_ep140,0.6510302498903989,0.35847815875998124,0.4623639055959295,5.730673909187317,0.09240451388888889,0.039600694444444445,0.42855800845467357,0.2513107239075868
lineart_004_002,combined_koma_direct_unet_200ep_20260801_ep160,0.6718317653569452,0.3673555659934241,0.4749887358506512,5.592896461486816,0.09240451388888889,0.039214409722222225,0.4243776420854862,0.2665957999245851
lineart_004_002,combined_koma_direct_unet_200ep_20260801_ep180,0.6301571709233792,0.31258806951620477,0.4178851403352286,6.742424488067627,0.09240451388888889,0.035347222222222224,0.3825270079849695,0.17244804660576024
lineart_004_002,combined_koma_direct_unet_200ep_20260801_ep200,0.6780611563626653,0.3069046500704556,0.4225529872421663,6.323688268661499,0.09240451388888889,0.03250434027777778,0.35176139032409587,0.1808766043945762
lineart_004_003,combined_koma_direct_unet_finegrid_20260802_ep005,0.0,0.0,0.0,20.0,0.10668836805555555,0.002092013888888889,0.019608640820145642,-0.8145427961379506
lineart_004_003,combined_koma_direct_unet_finegrid_20260802_ep010,0.0,0.0,0.0,20.0,0.10668836805555555,0.0,0.0,-1.605240844637142
lineart_004_003,combined_koma_direct_unet_finegrid_20260802_ep015,0.0,0.0,0.0,20.0,0.10668836805555555,0.0,0.0,-1.605240844637142
lineart_004_003,combined_koma_direct_unet_finegrid_20260802_ep020,0.0,0.0,0.0,20.0,0.10668836805555555,0.0,0.0,-1.605240844637142
lineart_004_003,combined_koma_direct_unet_finegrid_20260802_ep025,0.8379705400981997,0.032057280013018184,0.06175217763301889,10.224927544593811,0.10668836805555555,0.002651909722222222,0.0248565965583174,-0.4894415795100973
lineart_004_003,combined_koma_direct_unet_finegrid_20260802_ep030,0.6515320334261838,0.16122208209592775,0.25848248313989675,7.57483172416687,0.10668836805555555,0.015581597222222222,0.1460477604654001,-0.08479403670768756
lineart_004_003,combined_koma_direct_unet_finegrid_20260802_ep035,0.6066749072929543,0.1630527643301737,0.2570260218793356,8.075616836547852,0.10668836805555555,0.01755642361111111,0.16455799194499818,-0.08922377793695185
lineart_004_003,combined_koma_direct_unet_finegrid_20260802_ep040,0.6603198781416603,0.22785891542248077,0.33880514228782416,6.90691864490509,0.10668836805555555,0.02279513888888889,0.21366095765021767,0.042662989737013296
lineart_004_003,combined_koma_direct_unet_finegrid_20260802_ep045,0.6175499565595135,0.22700459704649933,0.33197779455765747,7.145165681838989,0.10668836805555555,0.024978298611111113,0.23412391684634476,0.037196272942162864
lineart_004_003,combined_koma_direct_unet_finegrid_20260802_ep050,0.6659698372405555,0.28074529107847523,0.3949823768794339,6.536052227020264,0.10668836805555555,0.029066840277777777,0.27244619828322686,0.12755594145473276
lineart_004_003,combined_koma_direct_unet_finegrid_20260802_ep055,0.6115384615384616,0.2513730116756845,0.3562920869735349,6.968186140060425,0.10668836805555555,0.029340277777777778,0.2750091534111712,0.07881136173298656
lineart_004_003,combined_koma_direct_unet_finegrid_20260802_ep060,0.5936468646864687,0.2628046051828648,0.36432450729701116,7.15212345123291,0.10668836805555555,0.0315625,0.2958382490541475,0.08808602662277507
lineart_004_003,combined_koma_direct_unet_200ep_20260801_ep020,0.0,0.0,0.0,20.0,0.10668836805555555,0.0,0.0,-1.605240844637142
lineart_004_003,combined_koma_direct_unet_200ep_20260801_ep040,0.6799462094469658,0.26744233350962127,0.3838898037504579,6.1607444286346436,0.10668836805555555,0.0258203125,0.24201619136731625,0.11637114114762574
lineart_004_003,combined_koma_direct_unet_200ep_20260801_ep060,0.5591094386955159,0.2175664130832757,0.313241192756004,7.986007213592529,0.10668836805555555,0.027682291666666668,0.2594686953337944,0.0056614749597924535
lineart_004_003,combined_koma_direct_unet_200ep_20260801_ep080,0.5928490672696438,0.24287050974329766,0.3445786340993835,7.653058052062988,0.10668836805555555,0.030711805555555555,0.28786461087832066,0.05363098195818433
lineart_004_003,combined_koma_direct_unet_200ep_20260801_ep100,0.5485941996900597,0.28273870062243195,0.37315691735781475,7.554810285568237,0.10668836805555555,0.03921006944444445,0.3675196289817339,0.10420837625377426
lineart_004_003,combined_koma_direct_unet_200ep_20260801_ep120,0.5831379236836496,0.29770961311582117,0.39417892064230126,6.768453598022461,0.10668836805555555,0.040720486111111114,0.38167690492656936,0.14791311454081346
lineart_004_003,combined_koma_direct_unet_200ep_20260801_ep140,0.5935762115537396,0.28151824579960133,0.3819074213551099,6.928614139556885,0.10668836805555555,0.0382421875,0.3584475814653594,0.12661424019352763
lineart_004_003,combined_koma_direct_unet_200ep_20260801_ep160,0.5896250642013354,0.3080834791098816,0.40470538573577797,6.775025844573975,0.10668836805555555,0.042252604166666666,0.39603759000854316,0.16123004778393407
lineart_004_003,combined_koma_direct_unet_200ep_20260801_ep180,0.6049977074736359,0.2824946096578658,0.3851494551954404,6.968096733093262,0.10668836805555555,0.03786458333333333,0.3549082624791506,0.12807536179183193
lineart_004_003,combined_koma_direct_unet_200ep_20260801_ep200,0.5828719084533038,0.25324437573735814,0.35308254457448124,7.383374929428101,0.10668836805555555,0.0352734375,0.33062121150482077,0.07995561653703656
lineart_004_006,combined_koma_direct_unet_finegrid_20260802_ep005,0.4363207547169811,0.013359970033712074,0.0259260932802369,12.993165254592896,0.10428385416666666,0.0018402777777777777,0.017646814000915636,-0.6218790398253722
lineart_004_006,combined_koma_direct_unet_finegrid_20260802_ep010,0.0,0.0,0.0,20.0,0.10428385416666666,0.0,0.0,-1.605240844637142
lineart_004_006,combined_koma_direct_unet_finegrid_20260802_ep015,0.0,0.0,0.0,20.0,0.10428385416666666,0.0,0.0,-1.605240844637142
lineart_004_006,combined_koma_direct_unet_finegrid_20260802_ep020,0.0,0.0,0.0,20.0,0.10428385416666666,0.0,0.0,-1.605240844637142
lineart_004_006,combined_koma_direct_unet_finegrid_20260802_ep025,0.7718631178707225,0.023182253298372663,0.045012591630685835,10.464174151420593,0.10428385416666666,0.002282986111111111,0.021892038123777418,-0.5223223432951556
lineart_004_006,combined_koma_direct_unet_finegrid_20260802_ep030,0.7028455284552846,0.10875265326507678,0.1883599982764466,8.764861583709717,0.10428385416666666,0.010677083333333334,0.10238481708078412,-0.21308288916152704
