sample,model,precision_2px,recall_2px,f1_2px,chamfer_px,pred_ink,target_ink,ink_ratio
lineart_004_002,direct_unet_ep060_raw,0.18236096895257592,0.11593515223408461,0.1417520724906933,11.77675199508667,0.05088541666666667,0.0548828125,0.927164887307236
lineart_004_002,direct_unet_ep060_vector,0.1871869232797258,0.11506524317912219,0.14252145219985285,11.741344451904297,0.04938802083333333,0.0548828125,0.8998813760379596
lineart_004_002,direct_unet_ep060_vector_nosimplify,0.18521739130434783,0.11482799525504152,0.14176616393758232,11.738941192626953,0.04991319444444445,0.0548828125,0.9094503756425465
lineart_004_002,direct_unet_ep060_vector_nodespeckle,0.18736842105263157,0.1162514827995255,0.1434810860606858,11.72972583770752,0.049479166666666664,0.0548828125,0.9015421115065242
lineart_004_003,direct_unet_ep060_raw,0.22404991491775383,0.13168020521590423,0.1658725933237849,10.790524959564209,0.06121527777777778,0.07106336805555556,0.8614181884810358
lineart_004_003,direct_unet_ep060_vector,0.22613497812522412,0.1298479203566848,0.16496947889735214,10.874119758605957,0.06051649305555556,0.07106336805555556,0.8515849264032248
lineart_004_003,direct_unet_ep060_vector_nosimplify,0.22451162127477542,0.13088621511024248,0.16536665870461287,10.868433475494385,0.060876736111111114,0.07106336805555556,0.8566542478470652
lineart_004_003,direct_unet_ep060_vector_nodespeckle,0.22571183288024038,0.13051975813839858,0.16539719990730523,10.80037546157837,0.060668402777777776,0.07106336805555556,0.853722592072314
lineart_004_006,direct_unet_ep060_raw,0.225669099756691,0.15728299398235923,0.18536998355320225,10.057134628295898,0.05708333333333333,0.05265190972222222,1.0841645371362625
lineart_004_006,direct_unet_ep060_vector,0.22917469368883409,0.15654109306734812,0.18601912747793314,10.189728736877441,0.05632378472222222,0.05265190972222222,1.069738686011046
lineart_004_006,direct_unet_ep060_vector_nosimplify,0.22806882777692425,0.15728299398235923,0.18617453475649762,10.148294448852539,0.05650173611111111,0.05265190972222222,1.0731184568460967
lineart_004_006,direct_unet_ep060_vector_nodespeckle,0.2282642089093702,0.15654109306734812,0.18571848458048654,10.081033706665039,0.05651041666666667,0.05265190972222222,1.0732833237160992
lineart_004_008,direct_unet_ep060_raw,0.1852902249952732,0.1101026045777427,0.13812749892585183,11.817945957183838,0.045911458333333335,0.07698784722222222,0.596346826023227
lineart_004_008,direct_unet_ep060_vector,0.17569239554582658,0.10598714623971135,0.13221503771188528,12.06111192703247,0.045603298611111114,0.07698784722222222,0.5923441199684294
lineart_004_008,direct_unet_ep060_vector_nosimplify,0.1846970702569451,0.10812943962115233,0.13640288725816527,11.986659049987793,0.045776909722222224,0.07698784722222222,0.5945991656331041
lineart_004_008,direct_unet_ep060_vector_nodespeckle,0.17623574144486692,0.10779118277145112,0.13376660729866433,11.89052438735962,0.04565972222222222,0.07698784722222222,0.5930770098094486
lineart_004_009,direct_unet_ep060_raw,0.299248307137976,0.2163337185625447,0.25112395634330376,9.880174160003662,0.06986545138888889,0.0788671875,0.8858620879423256
lineart_004_009,direct_unet_ep060_vector,0.3012578616352201,0.21440757250564085,0.2505188928129847,9.931788921356201,0.06901041666666667,0.0788671875,0.8750206372791811
lineart_004_009,direct_unet_ep060_vector_nosimplify,0.3008932475482541,0.2163337185625447,0.2517013203001871,9.891341209411621,0.06948350694444444,0.0788671875,0.8810192064278244
lineart_004_009,direct_unet_ep060_vector_nodespeckle,0.30059617194854094,0.21440757250564085,0.2502898133305079,9.910892963409424,0.06916232638888889,0.0788671875,0.8769467833360849
lineart_004_010,direct_unet_ep060_raw,0.22960807492952623,0.20557043385109802,0.21692537947811302,9.99839735031128,0.047730034722222224,0.040516493055555554,1.1780396357793252
lineart_004_010,direct_unet_ep060_vector,0.2340190019370907,0.20557043385109802,0.21887417595171094,10.035569667816162,0.04705295138888889,0.040516493055555554,1.1613283342260312
lineart_004_010,direct_unet_ep060_vector_nosimplify,0.22994262817594027,0.20557043385109802,0.21707457229861496,10.043511390686035,0.047660590277777776,0.040516493055555554,1.1763256561328335
lineart_004_010,direct_unet_ep060_vector_nodespeckle,0.23373871383821632,0.20557043385109802,0.2187515059235746,9.990995407104492,0.047109375,0.040516493055555554,1.1627209426888057
lineart_004_013,direct_unet_ep060_raw,0.18694166316925476,0.13769205622752534,0.15858107435172022,11.620688438415527,0.07239149305555556,0.06638454861111111,1.090487087283426
lineart_004_013,direct_unet_ep060_vector,0.18343373493975904,0.1332461588754495,0.15436307177217073,11.72182559967041,0.0720486111111111,0.06638454861111111,1.0853220006538085
lineart_004_013,direct_unet_ep060_vector_nosimplify,0.18708589326587158,0.13618829682902908,0.15763033329160586,11.696568012237549,0.07205729166666666,0.06638454861111111,1.0854527623406343
lineart_004_013,direct_unet_ep060_vector_nodespeckle,0.18371155119484742,0.13461915658711998,0.1553798830749361,11.644420623779297,0.07210503472222222,0.06638454861111111,1.086171951618176
lineart_004_020,direct_unet_ep060_raw,0.1826782145236509,0.06440085761931232,0.09522970587230198,12.620116710662842,0.03257378472222222,0.05465711805555556,0.5959660128642896
lineart_004_020,direct_unet_ep060_vector,0.18445945945945946,0.06384499325021838,0.09485784741764407,12.682390213012695,0.03211805555555555,0.05465711805555556,0.5876280473278805
lineart_004_020,direct_unet_ep060_vector_nosimplify,0.18407222746260613,0.06376558405463352,0.09471898594112602,12.666591167449951,0.032209201388888886,0.05465711805555556,0.5892956404351624
lineart_004_020,direct_unet_ep060_vector_nodespeckle,0.18439142741609382,0.06432144842372747,0.0953736202701478,12.635095596313477,0.032200520833333336,0.05465711805555556,0.5891368220439928
