sample,model,ink_pixels,orientation_entropy,long_line_ratio,component_count,mean_component_len,median_component_len,long_component_ratio,components_per_1k_ink_px
lineart_004_002,GT,12645,0.8082454554514469,0.5381573744563068,269,22.219330855018587,6.0,0.8428977748034131,21.273230525899564
lineart_004_002,combined_koma_direct_unet_200ep_20260801_ep020,2177,0.0,0.0,120,2.9833333333333334,1.0,0.0782122905027933,55.12172714745062
lineart_004_002,combined_koma_direct_unet_200ep_20260801_ep040,17433,0.8101888557478379,0.5449434979636322,212,10.150943396226415,2.0,0.7602230483271375,12.160844375609477
lineart_004_002,combined_koma_direct_unet_200ep_20260801_ep060,12314,0.821704569910931,0.39637810622056197,199,10.688442211055277,2.0,0.693464974141984,16.16046776027286
lineart_004_002,combined_koma_direct_unet_200ep_20260801_ep080,12723,0.8211782063450953,0.39739055254263933,243,9.584362139917696,2.0,0.6552168312580506,19.099269040320678
lineart_004_002,combined_koma_direct_unet_200ep_20260801_ep100,14353,0.8241975528732183,0.3490559464920226,256,9.890625,3.0,0.5999210110584519,17.835992475440676
lineart_004_002,combined_koma_direct_unet_200ep_20260801_ep120,14633,0.8219689030541825,0.4440647850748309,261,10.0727969348659,4.0,0.606694560669456,17.836397184446113
lineart_004_002,combined_koma_direct_unet_200ep_20260801_ep140,13536,0.826312697752702,0.4360224586288416,271,10.328413284132841,3.0,0.6498749553411933,20.02068557919622
lineart_004_002,combined_koma_direct_unet_200ep_20260801_ep160,12912,0.8251477129885064,0.35819392812887235,301,9.209302325581396,5.0,0.47113997113997114,23.311648079306075
lineart_004_002,combined_koma_direct_unet_200ep_20260801_ep180,12859,0.8259381218575101,0.37623454389921457,308,8.516233766233766,4.0,0.503621807091117,23.952095808383234
lineart_004_002,combined_koma_direct_unet_200ep_20260801_ep200,11511,0.8263986659909427,0.4070888715142038,281,7.825622775800712,4.0,0.4138244656662119,24.41143254278516
lineart_004_003,GT,16373,0.7673708203555819,0.6905270872778355,299,22.013377926421406,4.0,0.8416894560923731,18.261772430220482
lineart_004_003,combined_koma_direct_unet_200ep_20260801_ep020,2659,0.0,0.23881158330199323,122,2.418032786885246,1.0,0.13559322033898305,45.881910492666414
lineart_004_003,combined_koma_direct_unet_200ep_20260801_ep040,13956,0.7658301563092081,0.47083691602178274,174,11.597701149425287,2.0,0.680376610505451,12.467755803955288
lineart_004_003,combined_koma_direct_unet_200ep_20260801_ep060,9557,0.7832245244421793,0.47368421052631576,185,7.989189189189189,3.0,0.527063599458728,19.35753897666632
lineart_004_003,combined_koma_direct_unet_200ep_20260801_ep080,8645,0.7800805911312934,0.34308849045691153,191,9.795811518324607,3.0,0.5654730090860502,22.093695777906305
lineart_004_003,combined_koma_direct_unet_200ep_20260801_ep100,12112,0.7800947912420741,0.38449471598414797,240,10.520833333333334,4.0,0.6388118811881188,19.815059445178335
lineart_004_003,combined_koma_direct_unet_200ep_20260801_ep120,15736,0.7829023834155127,0.44935180477885106,289,9.2560553633218,3.0,0.5839252336448598,18.365531265887135
lineart_004_003,combined_koma_direct_unet_200ep_20260801_ep140,12053,0.7907641596132904,0.4284410520202439,296,8.641891891891891,4.0,0.44878811571540267,24.558201277690202
lineart_004_003,combined_koma_direct_unet_200ep_20260801_ep160,13111,0.8074110070496837,0.36442681717641673,324,8.703703703703704,4.0,0.524468085106383,24.712073831134163
lineart_004_003,combined_koma_direct_unet_200ep_20260801_ep180,11343,0.7937028149713682,0.2576919686150049,258,9.709302325581396,5.0,0.5544910179640719,22.745305474742132
lineart_004_003,combined_koma_direct_unet_200ep_20260801_ep200,9539,0.7995358462880281,0.2578886675752175,253,8.652173913043478,5.0,0.46139789858382824,26.52269629940245
lineart_004_006,GT,12131,0.8123443941856915,0.5123237985326848,262,19.65648854961832,4.0,0.8209708737864078,21.597559970323964
lineart_004_006,combined_koma_direct_unet_200ep_20260801_ep020,2757,0.21086202643932794,0.0,135,2.977777777777778,1.0,0.12189054726368159,48.96626768226333
lineart_004_006,combined_koma_direct_unet_200ep_20260801_ep040,13665,0.821374513281971,0.5233077204537139,221,7.361990950226244,2.0,0.6066379840196681,16.172703988291254
lineart_004_006,combined_koma_direct_unet_200ep_20260801_ep060,9363,0.8204704075800261,0.42165972444729255,155,8.993548387096775,2.0,0.6190817790530847,16.554523122930686
lineart_004_006,combined_koma_direct_unet_200ep_20260801_ep080,8689,0.8217991733516736,0.4306594544826792,153,10.359477124183007,4.0,0.6290220820189274,17.608470479917134
lineart_004_006,combined_koma_direct_unet_200ep_20260801_ep100,10118,0.8221382489699134,0.2649733148843645,241,8.535269709543568,4.0,0.47836655323286337,23.818936548725045
lineart_004_006,combined_koma_direct_unet_200ep_20260801_ep120,12109,0.8214668140020465,0.3381782145511603,260,9.384615384615385,3.0,0.6028688524590164,21.47163266991494
lineart_004_006,combined_koma_direct_unet_200ep_20260801_ep140,9848,0.8232410602760956,0.2990454914703493,207,10.159420289855072,6.0,0.5611031859248692,21.01949634443542
lineart_004_006,combined_koma_direct_unet_200ep_20260801_ep160,10382,0.8185362181663037,0.31333076478520516,251,9.533864541832669,4.0,0.5144170497283744,24.17645925640532
lineart_004_006,combined_koma_direct_unet_200ep_20260801_ep180,7805,0.8257869098670331,0.21473414477898783,252,6.972222222222222,4.0,0.28912919749573135,32.28699551569507
lineart_004_006,combined_koma_direct_unet_200ep_20260801_ep200,6896,0.824765173517674,0.13326566125290024,221,7.606334841628959,5.0,0.38072575847709694,32.04756380510441
lineart_004_008,GT,17738,0.6849679612811553,0.8726462960874958,165,21.454545454545453,3.0,0.8731638418079096,9.302063366783178
lineart_004_008,combined_koma_direct_unet_200ep_20260801_ep020,3075,0.0,0.17138211382113822,90,3.433333333333333,1.0,0.09385113268608414,29.26829268292683
lineart_004_008,combined_koma_direct_unet_200ep_20260801_ep040,11778,0.7581555241389847,0.6690439803022584,128,12.8984375,3.5,0.67595396729255,10.867719476991
lineart_004_008,combined_koma_direct_unet_200ep_20260801_ep060,8913,0.7396635258213324,0.49074385728710873,160,8.65625,2.0,0.5935018050541516,17.95130707954673
lineart_004_008,combined_koma_direct_unet_200ep_20260801_ep080,9549,0.7593101466601779,0.49408315006806997,174,9.28735632183908,2.0,0.6051980198019802,18.221803330191644
lineart_004_008,combined_koma_direct_unet_200ep_20260801_ep100,13503,0.7612749430694348,0.47263571058283343,203,11.320197044334975,4.0,0.6209747606614447,15.03369621565578
lineart_004_008,combined_koma_direct_unet_200ep_20260801_ep120,15390,0.7805152296572203,0.5530214424951267,228,10.87719298245614,3.0,0.6741935483870968,14.814814814814815
lineart_004_008,combined_koma_direct_unet_200ep_20260801_ep140,13067,0.7819628733833102,0.35402158108211523,223,10.623318385650224,4.0,0.6260025327142255,17.065891176245504
lineart_004_008,combined_koma_direct_unet_200ep_20260801_ep160,13005,0.7947925295537558,0.3950019223375625,214,12.27570093457944,5.0,0.6627331556909022,16.45520953479431
lineart_004_008,combined_koma_direct_unet_200ep_20260801_ep180,11003,0.7743542045655314,0.41125147686994457,193,11.217616580310882,5.0,0.628175519630485,17.54067072616559
lineart_004_008,combined_koma_direct_unet_200ep_20260801_ep200,9985,0.7778896483631823,0.2654982473710566,197,9.761421319796954,4.0,0.607904316172647,19.72959439158738
lineart_004_009,GT,18171,0.7428259288709029,0.7013923284354191,400,17.29,4.0,0.7880277617119722,22.013097793186944
lineart_004_009,combined_koma_direct_unet_200ep_20260801_ep020,1974,0.4496588849988293,0.0,141,2.574468085106383,1.0,0.0,71.42857142857143
lineart_004_009,combined_koma_direct_unet_200ep_20260801_ep040,17051,0.781624949125404,0.46613101870858015,227,9.211453744493392,2.0,0.6642754662840746,13.313002169960706
lineart_004_009,combined_koma_direct_unet_200ep_20260801_ep060,14474,0.7930164123191646,0.3629957164570955,241,8.717842323651452,2.0,0.6292241789623989,16.650545806273318
lineart_004_009,combined_koma_direct_unet_200ep_20260801_ep080,9717,0.8017435317543233,0.36544200885046824,178,10.241573033707866,3.0,0.6560614371914427,18.318411032211586
lineart_004_009,combined_koma_direct_unet_200ep_20260801_ep100,13942,0.7860239611465882,0.31322622292354035,257,11.14396887159533,4.0,0.63268156424581,18.43351025677808
lineart_004_009,combined_koma_direct_unet_200ep_20260801_ep120,15297,0.7998976132995088,0.4767601490488331,281,10.245551601423488,4.0,0.5963876345953456,18.369614957181145
lineart_004_009,combined_koma_direct_unet_200ep_20260801_ep140,13225,0.7954642043883589,0.3610586011342155,289,10.152249134948097,4.0,0.5933878663940013,21.852551984877124
lineart_004_009,combined_koma_direct_unet_200ep_20260801_ep160,13334,0.803215066207335,0.2804859757012149,294,9.92517006802721,5.0,0.5435229609321454,22.048897555122245
lineart_004_009,combined_koma_direct_unet_200ep_20260801_ep180,11879,0.7931484829440959,0.2746864214159441,264,10.583333333333334,6.0,0.5347172512526843,22.22409293711592
lineart_004_009,combined_koma_direct_unet_200ep_20260801_ep200,9236,0.8035146597608023,0.20734084019055868,229,9.445414847161572,6.0,0.44706426259824317,24.794283239497616
lineart_004_010,GT,9335,0.7088926533328117,0.507980717728977,241,17.473029045643152,4.0,0.8145333649964379,25.816818425281202
lineart_004_010,combined_koma_direct_unet_200ep_20260801_ep020,2121,0.0,0.0,98,2.316326530612245,1.0,0.11013215859030837,46.2046204620462
lineart_004_010,combined_koma_direct_unet_200ep_20260801_ep040,12553,0.793065153239953,0.43415916513980723,182,9.521978021978022,2.0,0.7080207732256203,14.498526248705488
lineart_004_010,combined_koma_direct_unet_200ep_20260801_ep060,9786,0.8121798456046838,0.3101369303086041,207,7.879227053140097,2.0,0.6082158185162477,21.152667075413856
lineart_004_010,combined_koma_direct_unet_200ep_20260801_ep080,8908,0.8095657779139814,0.40446789402784017,186,8.693548387096774,3.0,0.549165120593692,20.88010776829816
lineart_004_010,combined_koma_direct_unet_200ep_20260801_ep100,13282,0.7981220237717372,0.34053606384580637,283,9.134275618374557,3.0,0.5872340425531914,21.30703207348291
lineart_004_010,combined_koma_direct_unet_200ep_20260801_ep120,11044,0.8084251636101801,0.29273813835566825,243,8.958847736625515,3.0,0.5787781350482315,22.00289750090547
lineart_004_010,combined_koma_direct_unet_200ep_20260801_ep140,9546,0.8090711727040137,0.2412528807877645,208,10.596153846153847,5.0,0.5630671506352087,21.789231091556676
lineart_004_010,combined_koma_direct_unet_200ep_20260801_ep160,10393,0.8162929844497091,0.19734436640046185,248,9.5,6.0,0.4333616298811545,23.86221495237179
lineart_004_010,combined_koma_direct_unet_200ep_20260801_ep180,8269,0.8053928642783044,0.12951989357842544,213,8.27699530516432,4.0,0.5087918321043675,25.758858386745676
lineart_004_010,combined_koma_direct_unet_200ep_20260801_ep200,6821,0.8081519074243434,0.07110394370326932,215,7.637209302325582,5.0,0.34835566382460414,31.52030494062454
lineart_004_013,GT,15295,0.7296113825356104,0.6294867603792089,395,15.00759493670886,3.0,0.7624831309041835,25.82543314808761
lineart_004_013,combined_koma_direct_unet_200ep_20260801_ep020,2952,0.0,0.2916666666666667,140,2.3857142857142857,1.0,0.0718562874251497,47.42547425474255
lineart_004_013,combined_koma_direct_unet_200ep_20260801_ep040,15936,0.796575267110265,0.6344754016064257,177,9.954802259887005,2.0,0.6748013620885358,11.106927710843372
lineart_004_013,combined_koma_direct_unet_200ep_20260801_ep060,14696,0.8133112490258165,0.5506260206859009,196,11.107142857142858,3.0,0.7060174552135967,13.336962438758846
lineart_004_013,combined_koma_direct_unet_200ep_20260801_ep080,13728,0.8154118100077414,0.5412296037296037,194,11.664948453608247,2.0,0.7021652673442333,14.131701631701631
lineart_004_013,combined_koma_direct_unet_200ep_20260801_ep100,15225,0.8054016913741951,0.4993103448275862,263,11.140684410646388,4.0,0.6546075085324232,17.274220032840724
lineart_004_013,combined_koma_direct_unet_200ep_20260801_ep120,13773,0.8126141003438329,0.4566906265882524,238,10.193277310924369,4.0,0.6145919208573783,17.28018587090685
lineart_004_013,combined_koma_direct_unet_200ep_20260801_ep140,13659,0.8086600411182308,0.38531371257046637,273,10.007326007326007,5.0,0.5911420204978038,19.986821875686363
lineart_004_013,combined_koma_direct_unet_200ep_20260801_ep160,13020,0.819124179509986,0.3104454685099846,270,9.403703703703703,6.0,0.47026388341866876,20.737327188940093
lineart_004_013,combined_koma_direct_unet_200ep_20260801_ep180,10790,0.8120421620981263,0.24087117701575533,211,10.687203791469194,6.0,0.588470066518847,19.555143651529193
lineart_004_013,combined_koma_direct_unet_200ep_20260801_ep200,9244,0.8144101265175255,0.26709216789268714,226,8.176991150442477,4.0,0.43452380952380953,24.44829078321073
lineart_004_020,GT,12593,0.7131212160512787,0.7624870960057175,289,16.878892733564015,3.0,0.8116031160311603,22.94925752402128
lineart_004_020,combined_koma_direct_unet_200ep_20260801_ep020,2912,0.0,0.7379807692307693,70,4.128571428571429,1.0,0.3771626297577855,24.03846153846154
lineart_004_020,combined_koma_direct_unet_200ep_20260801_ep040,15144,0.7628208362106568,0.604661912308505,169,13.266272189349113,3.0,0.7636039250669046,11.159535129424196
lineart_004_020,combined_koma_direct_unet_200ep_20260801_ep060,13808,0.7784420614565652,0.6221031286210892,164,15.420731707317072,3.0,0.7872676947410043,11.877172653534183
lineart_004_020,combined_koma_direct_unet_200ep_20260801_ep080,11908,0.7955550179346701,0.4242526032919046,180,13.588888888888889,4.0,0.7571545380212592,15.115888478333893
lineart_004_020,combined_koma_direct_unet_200ep_20260801_ep100,14435,0.7910050817630923,0.3436785590578455,225,13.453333333333333,6.0,0.6911133135117278,15.587114651887772
lineart_004_020,combined_koma_direct_unet_200ep_20260801_ep120,13445,0.8014128514718494,0.40022313127556713,221,13.235294117647058,5.0,0.7032478632478633,16.43733730011157
lineart_004_020,combined_koma_direct_unet_200ep_20260801_ep140,12502,0.7985983511364094,0.27867541193409057,246,11.495934959349594,4.5,0.6782178217821783,19.676851703727404
lineart_004_020,combined_koma_direct_unet_200ep_20260801_ep160,11536,0.8011547068903909,0.2938626907073509,254,11.196850393700787,5.0,0.6209563994374121,22.018030513176146
lineart_004_020,combined_koma_direct_unet_200ep_20260801_ep180,10797,0.8031681482737415,0.3345373714920811,203,12.142857142857142,5.0,0.6397565922920893,18.80151894044642
lineart_004_020,combined_koma_direct_unet_200ep_20260801_ep200,9027,0.8086491031950617,0.30098593109560207,169,11.887573964497042,5.0,0.6077650572424091,18.721612938960895
