sample,model,ink_pixels,orientation_entropy,long_line_ratio,component_count,mean_component_len,median_component_len,long_component_ratio,components_per_1k_ink_px
lineart_004_002,GT,12645,0.8082454554514469,0.5381573744563068,269,22.219330855018587,6.0,0.8428977748034131,21.273230525899564
lineart_004_002,combined_koma_direct_unet_finegrid_ep025,6945,0.6742634764197649,0.23686105111591071,174,4.293103448275862,1.0,0.39357429718875503,25.053995680345572
lineart_004_002,combined_koma_direct_unet_finegrid_ep055,13480,0.8245257865149835,0.5304896142433234,244,8.176229508196721,2.5,0.5488721804511278,18.100890207715135
lineart_004_002,combined_koma_selfanchor_ep25_msgan_20260804,24519,0.8219647773463205,0.7261307557404462,962,3.5218295218295217,2.0,0.15968122786304603,39.23487907337167
lineart_004_003,GT,16373,0.7673708203555819,0.6905270872778355,299,22.013377926421406,4.0,0.8416894560923731,18.261772430220482
lineart_004_003,combined_koma_direct_unet_finegrid_ep025,6445,0.798075537598269,0.18758727695888286,145,4.4206896551724135,1.0,0.4118564742589704,22.498060512024825
lineart_004_003,combined_koma_direct_unet_finegrid_ep055,14696,0.778692434355772,0.36642623843222644,240,9.266666666666667,2.0,0.6528776978417267,16.33097441480675
lineart_004_003,combined_koma_selfanchor_ep25_msgan_20260804,20647,0.810711573339284,0.6050273647503269,958,3.219206680584551,2.0,0.12127107652399481,46.39899258972248
lineart_004_006,GT,12131,0.8123443941856915,0.5123237985326848,262,19.65648854961832,4.0,0.8209708737864078,21.597559970323964
lineart_004_006,combined_koma_direct_unet_finegrid_ep025,6808,0.5668792163741904,0.620593419506463,126,4.317460317460317,1.0,0.45036764705882354,18.507638072855464
lineart_004_006,combined_koma_direct_unet_finegrid_ep055,12410,0.8222804419711107,0.5756647864625302,177,10.519774011299434,3.0,0.6476906552094522,14.262691377921032
lineart_004_006,combined_koma_selfanchor_ep25_msgan_20260804,19179,0.8146267741536278,0.7141143959539079,795,3.6754716981132076,2.0,0.11601642710472279,41.451587674018455
lineart_004_008,GT,17738,0.6849679612811553,0.8726462960874958,165,21.454545454545453,3.0,0.8731638418079096,9.302063366783178
lineart_004_008,combined_koma_direct_unet_finegrid_ep025,7477,0.7194592148209085,0.5209308546208372,149,5.550335570469799,2.0,0.5139056831922612,19.927778520797112
lineart_004_008,combined_koma_direct_unet_finegrid_ep055,9141,0.7576494053256811,0.5027896291434197,162,8.598765432098766,2.0,0.6331658291457286,17.72234985231375
lineart_004_008,combined_koma_selfanchor_ep25_msgan_20260804,19768,0.7879801223533431,0.8227944152165115,639,4.09546165884194,2.0,0.2594573939625525,32.32496964791582
lineart_004_009,GT,18171,0.7428259288709029,0.7013923284354191,400,17.29,4.0,0.7880277617119722,22.013097793186944
lineart_004_009,combined_koma_direct_unet_finegrid_ep025,8074,0.7880072752678767,0.47312360663859304,155,4.032258064516129,1.0,0.272,19.19742382957642
lineart_004_009,combined_koma_direct_unet_finegrid_ep055,15711,0.7847578965397737,0.5524155050601489,278,8.410071942446043,2.0,0.6411462788708298,17.694608872764306
lineart_004_009,combined_koma_selfanchor_ep25_msgan_20260804,23552,0.8113761960918439,0.6077615489130435,980,3.36734693877551,2.0,0.10575757575757576,41.610054347826086
lineart_004_010,GT,9335,0.7088926533328117,0.507980717728977,241,17.473029045643152,4.0,0.8145333649964379,25.816818425281202
lineart_004_010,combined_koma_direct_unet_finegrid_ep025,6748,0.7631656206572172,0.6056609365737996,146,4.184931506849315,1.0,0.35515548281505727,21.636040308239476
lineart_004_010,combined_koma_direct_unet_finegrid_ep055,11128,0.8090171547150299,0.2980769230769231,215,8.134883720930233,2.0,0.5443110348770727,19.320632638389647
lineart_004_010,combined_koma_selfanchor_ep25_msgan_20260804,20840,0.8229251078112219,0.6741362763915547,825,3.484848484848485,2.0,0.10156521739130435,39.587332053742806
lineart_004_013,GT,15295,0.7296113825356104,0.6294867603792089,395,15.00759493670886,3.0,0.7624831309041835,25.82543314808761
lineart_004_013,combined_koma_direct_unet_finegrid_ep025,7432,0.7708557961919441,0.6056243272335845,133,5.2105263157894735,2.0,0.42712842712842713,17.895586652314314
lineart_004_013,combined_koma_direct_unet_finegrid_ep055,15855,0.8187430792395706,0.6341847997477137,289,8.079584775086506,2.0,0.5486081370449679,18.227688426363923
lineart_004_013,combined_koma_selfanchor_ep25_msgan_20260804,20802,0.8224592866095937,0.6559946159023171,827,3.6432889963724304,2.0,0.17192167275141054,39.75579271223921
lineart_004_020,GT,12593,0.7131212160512787,0.7624870960057175,289,16.878892733564015,3.0,0.8116031160311603,22.94925752402128
lineart_004_020,combined_koma_direct_unet_finegrid_ep025,6685,0.6475554187350225,0.694240837696335,98,8.03061224489796,2.0,0.5451080050825922,14.659685863874346
lineart_004_020,combined_koma_direct_unet_finegrid_ep055,10533,0.7594997853017882,0.5683091237064464,164,12.024390243902438,3.0,0.7013184584178499,15.570112978258805
lineart_004_020,combined_koma_selfanchor_ep25_msgan_20260804,19740,0.7795353260666481,0.8556737588652482,599,4.380634390651085,2.0,0.25685975609756095,30.344478216818644
