sample,model,precision_2px,recall_2px,f1_2px,chamfer_px,pred_ink,target_ink,ink_ratio
housei_002_06_15,shape1,0.9452864954826439,0.9937420965597743,0.9689088523249734,0.3654646836221218,0.14604166666666665,0.13385850694444446,1.0910152070296033
housei_002_06_15,kurip_clean540,0.9411553749140791,0.9890081385169093,0.9644885720012216,0.3615698218345642,0.14523003472222223,0.13385850694444446,1.0849518498103174
housei_002_06_15,kurip_vlm_accept_top500_noac_epoch010,0.8330076917369476,0.9888460166661263,0.9042617791176489,0.9841247536242008,0.17549045138888889,0.13385850694444446,1.3110145585422002
housei_002_06_15,kurip_vlm_accept_top500_noac,0.806721523668639,0.9957524075094841,0.8913248457998184,1.1759052723646164,0.18777777777777777,0.13385850694444446,1.4028079504555622
housei_002_07_12,shape1,0.5192690428804053,0.9698715108551174,0.6763958578595733,3.620051324367523,0.023988715277777777,0.009796006944444444,2.4488258750553835
housei_002_07_12,kurip_clean540,0.5295620437956204,0.9645547186530793,0.6837371495993404,3.4616912603378296,0.02378472222222222,0.009796006944444444,2.4280017722640674
housei_002_07_12,kurip_vlm_accept_top500_noac_epoch010,0.3666935159081756,0.8591050066459902,0.5139967614986486,4.817359030246735,0.04310763888888889,0.009796006944444444,4.4005316792202045
housei_002_07_12,kurip_vlm_accept_top500_noac,0.3120290450746678,0.9556933983163491,0.47045644733266956,5.1933766305446625,0.063359375,0.009796006944444444,6.467877713779353
housei_002_19_12,shape1,0.9699837940672194,0.9749430523917996,0.9724571005641673,0.2917482852935791,0.18479600694444445,0.17720052083333335,1.0428637911186225
housei_002_19_12,kurip_clean540,0.96298483488449,0.9668846596614985,0.9649308069461134,0.3074053227901459,0.18374131944444444,0.17720052083333335,1.036911847551865
housei_002_19_12,kurip_vlm_accept_top500_noac_epoch010,0.821800346418343,0.972126288975433,0.8906648747840546,0.9910305514931679,0.2530859375,0.17720052083333335,1.428246013667426
housei_002_19_12,kurip_vlm_accept_top500_noac,0.8594597487867542,0.9817032845910795,0.9165233529698333,0.7184837237000465,0.2432638888888889,0.17720052083333335,1.3728170083523157
lineart_004_002,shape1,0.9583633597565858,0.9718465796757612,0.9650578771135309,0.4523748457431793,0.05420572916666667,0.0548828125,0.9876631079478054
lineart_004_002,kurip_clean540,0.9408585546633724,0.9625939106366153,0.9516021355927005,0.5452992469072342,0.05621527777777778,0.0548828125,1.024278370897588
lineart_004_002,kurip_vlm_accept_top500_noac_epoch010,0.8062581686784039,0.9546856465005931,0.8742165359011017,0.8698164224624634,0.11290798611111111,0.0548828125,2.0572558323448003
lineart_004_002,kurip_vlm_accept_top500_noac,0.8723827300762863,0.983234480031633,0.9244975475790594,0.578156340867281,0.10696180555555555,0.0548828125,1.9489126136812969
lineart_004_004,shape1,0.9766776362855917,0.9881076259848373,0.9823593845848068,0.30409036576747894,0.030334201388888888,0.02919704861111111,1.038947524899658
lineart_004_004,kurip_clean540,0.9669542136695422,0.9820127843020663,0.9744253244375101,0.36139826476573944,0.032703993055555554,0.02919704861111111,1.120112977553144
lineart_004_004,kurip_vlm_accept_top500_noac_epoch010,0.9084449021627189,0.9586740002973093,0.9328838214412283,0.5233580768108368,0.042144097222222225,0.02919704861111111,1.4434368960903823
lineart_004_004,kurip_vlm_accept_top500_noac,0.9016156692842314,0.9881076259848373,0.9428822947333376,0.5593844167888165,0.0480859375,0.02919704861111111,1.6469451464248552
lineart_004_006,shape1,0.9727649006622516,0.9826065452147391,0.9776609557855072,0.37904247641563416,0.05243055555555556,0.05265190972222222,0.9957958948149369
lineart_004_006,kurip_clean540,0.9567364386792453,0.9747753688896217,0.9656716684714887,0.4599326103925705,0.058888888888888886,0.05265190972222222,1.1184568460967768
lineart_004_006,kurip_vlm_accept_top500_noac_epoch010,0.8661274197946015,0.9612562855494189,0.9112157714107695,0.7303166836500168,0.09551215277777778,0.05265190972222222,1.8140301706372104
lineart_004_006,kurip_vlm_accept_top500_noac,0.9056813446311988,0.9841727804797626,0.9432970675681144,0.5013206340372562,0.09373697916666666,0.05265190972222222,1.7803148957217048
lineart_004_008,shape1,0.9912236849413987,0.993629495997294,0.992425132445425,0.127114687114954,0.07813802083333334,0.07698784722222222,1.01493967752847
lineart_004_008,kurip_clean540,0.9865007499583357,0.9906979366332168,0.9885948884131933,0.1720285564661026,0.07812934027777778,0.07698784722222222,1.0148269252452362
lineart_004_008,kurip_vlm_accept_top500_noac_epoch010,0.9168467386954782,0.9940805051302289,0.9539028469809531,0.3937141802161932,0.10846354166666666,0.07698784722222222,1.4088397790055247
lineart_004_008,kurip_vlm_accept_top500_noac,0.9460862957021025,0.9971811929191566,0.9709620178146869,0.3034913204610348,0.10280381944444444,0.07698784722222222,1.3353252903371293
lineart_004_010,shape1,0.9395028759244043,0.9725763256561328,0.955753563194061,0.5138241350650787,0.042256944444444444,0.040516493055555554,1.0429566148901983
lineart_004_010,kurip_clean540,0.9198442802954682,0.9647562935190145,0.9417651366584782,0.6139911860227585,0.043480902777777775,0.040516493055555554,1.0731655061596144
lineart_004_010,kurip_vlm_accept_top500_noac_epoch010,0.8545184304399525,0.9522228173540439,0.9007288102908955,0.7814146876335144,0.07300347222222223,0.040516493055555554,1.8018211033743976
lineart_004_010,kurip_vlm_accept_top500_noac,0.8433469475494411,0.9838243170862346,0.9081855114496082,0.722711555659771,0.08076388888888889,0.040516493055555554,1.9933583288698447
