page,x,y,rough_std,line_ink,rough_edges,line_edges,same_f1,same_chamfer,shift_f1,shift_chamfer,dx,dy
0001,2880,960,20.04200334748562,0.020846354166666668,6780,2276,0.4610692677563984,8.878541946411133,0.4610692677563984,8.878541946411133,0,0
0001,960,2880,31.99248419157637,0.04973524305555556,4973,3065,0.4509058453287024,12.186412811279297,0.48983677792587066,11.149192333221436,16,-16
0001,1920,4800,37.63849459342404,0.06634548611111112,6455,4805,0.43355566957414055,11.013933658599854,0.5263999774676299,8.370199918746948,64,16
0001,0,3840,29.190891645032178,0.040230034722222224,3826,6079,0.39685886802495646,13.617580890655518,0.4319650808863763,12.853019714355469,96,96
0001,1920,0,21.282930532855318,0.04830729166666667,3296,2666,0.37084184612144416,16.505990028381348,0.4188958216098892,15.725804805755615,-32,64
0001,0,4800,34.90028146896608,0.04684027777777778,7495,3902,0.34781705279385644,11.367911338806152,0.49364988344878075,9.675038576126099,16,-16
0001,1920,5760,47.71745393291323,0.08168836805555556,8017,5965,0.3469671286789915,15.00153636932373,0.525703797260233,8.587267875671387,64,0
0001,960,3840,37.138356150608296,0.03320746527777778,6621,2079,0.3466564065989753,13.365792751312256,0.43342683398361986,12.051700353622437,16,16
0002,1920,3840,42.680785549361694,0.08286024305555556,9290,9009,0.45932452732825907,12.871681213378906,0.5930710741355975,8.710379123687744,-32,-64
0002,1920,2880,50.47592560744993,0.08309027777777778,14332,8526,0.33450546173502427,13.655681133270264,0.4709918548504675,9.09325647354126,-16,-96
0002,2880,0,37.58356736247537,0.015199652777777777,6668,3466,0.2936228078674291,13.687526226043701,0.47401622495341694,9.278284072875977,16,-32
0002,960,3840,50.23796146644016,0.11743055555555555,12544,5757,0.2883073861619822,14.63895559310913,0.40262215645961774,12.0142183303833,-48,-96
0002,2880,3840,37.5799394564999,0.0473828125,8092,4471,0.23210709604753763,18.549175262451172,0.2640811899240514,17.60917615890503,-16,-16
0002,960,960,31.306934754766736,0.050203993055555556,5550,2985,0.23168708196186877,18.609548568725586,0.2647446428571429,17.165131092071533,-16,-16
0002,1920,1920,33.7316181301869,0.03905815972222222,6434,7283,0.19341177124638362,19.68612575531006,0.28665594389879795,15.46787405014038,64,-64
0002,960,2880,40.71644889171938,0.040616319444444444,8444,3417,0.18275113163096474,18.450227737426758,0.28595678522271434,13.23796033859253,-32,80
0004,2880,960,16.230392313009904,0.02291232638888889,1838,2182,0.3856209673693774,16.245161056518555,0.41397160350868284,15.29678726196289,0,32
0004,3840,5760,10.244604075575763,0.010321180555555556,385,1367,0.36445211389128557,14.599699974060059,0.36445211389128557,14.599699974060059,0,0
0004,0,960,25.830300352603558,0.0311328125,3092,3369,0.23579159649964634,19.121463775634766,0.24634552724288178,18.943589210510254,-96,-96
0004,960,1920,31.163110303815873,0.02587673611111111,4411,4804,0.2250951794895389,17.98527431488037,0.29393867327555834,16.716604232788086,32,48
0004,1920,960,20.990792260329904,0.02798611111111111,2148,1806,0.22456085309252863,18.542414665222168,0.3962244043541144,13.107853412628174,-32,96
0004,2880,1920,32.46405507538132,0.02533420138888889,5198,2209,0.18135261136998637,20.01761531829834,0.1927497470503082,19.00959348678589,-64,-96
0004,0,2880,14.660518084448336,0.05849392361111111,1342,4325,0.17314023022437847,17.529797554016113,0.31429290836244167,13.19193983078003,0,-80
0004,960,960,39.66272232799628,0.034270833333333334,6329,3350,0.16699498549934153,19.8194637298584,0.1997330260791367,19.682514190673828,-64,-32
0005,3840,2880,40.77984729210992,0.07236111111111111,13287,9530,0.34256425693833,13.847400188446045,0.34256425693833,13.847400188446045,0,0
0005,0,4800,11.99400277469489,0.04859375,3314,3777,0.2507495514513153,17.813040256500244,0.2760303665505454,17.632502555847168,16,-96
0005,960,1920,25.747069422285847,0.034613715277777776,7613,2850,0.2400282996928897,16.49590253829956,0.3599301014119198,14.274763107299805,16,0
0005,2880,2880,30.78537384420273,0.04677083333333333,6861,6527,0.23075820898409405,17.61094379425049,0.30488154232732084,16.36965560913086,-32,-32
0005,0,5760,13.471592898969364,0.03080295138888889,3209,3193,0.22250529823380807,20.146870613098145,0.4583455023632513,12.58782958984375,64,-96
0005,2880,3840,23.783496247169992,0.03529079861111111,4607,2874,0.2111130631046424,17.963661193847656,0.3979596087337082,14.7148118019104,32,96
0005,3840,960,28.413254959255536,0.032139756944444445,6420,2270,0.18287590384438682,21.87678050994873,0.24982236426790014,18.964929580688477,16,96
0005,960,960,22.02402652376686,0.0910373263888889,6690,8297,0.1757539260858584,19.35574436187744,0.31936471390250176,14.588075160980225,64,80
0006,960,2880,36.14049878869575,0.06019965277777778,7200,6856,0.29271745076586436,15.338560581207275,0.4160469310636422,11.017860889434814,16,96
0006,1920,2880,33.78048111169274,0.046822916666666665,4616,5437,0.2623481263702258,17.025569438934326,0.29886734872662674,12.982755184173584,-80,96
0006,3840,1920,22.940806037289747,0.029288194444444443,5005,1820,0.2622708044265457,19.12290096282959,0.3299011139977421,17.878296852111816,16,64
0006,0,2880,20.533250214966753,0.05688802083333333,1489,6384,0.23805941371279313,16.442201614379883,0.3009849361454573,16.46067237854004,0,-96
0006,960,4800,43.7074356301268,0.07989583333333333,12608,7153,0.1887089953167339,18.00143337249756,0.38206759115268935,12.280126094818115,48,-96
0006,2880,3840,25.249623095146195,0.01707465277777778,7497,2770,0.18672643218075208,18.984918117523193,0.29063756630457604,17.234766006469727,64,16
0006,960,5760,66.13949840559357,0.0506640625,13447,3535,0.18374974400983002,18.761050701141357,0.21681368038348914,15.841107845306396,-32,-96
0006,2880,4800,27.023782446005654,0.06221788194444444,8257,6013,0.18015984802666027,20.5518798828125,0.3191126692750062,15.153728008270264,96,-32
0007,2880,2880,28.01513743878945,0.09116753472222222,9121,4908,0.24503951316141645,17.600823402404785,0.30091718483833885,14.994580268859863,-96,32
0007,2880,960,29.805800793892946,0.043094618055555554,8903,3395,0.21425963139680904,18.0135178565979,0.2805456616698908,17.106698989868164,16,32
0007,3840,960,29.44902453195468,0.04942708333333334,12182,4482,0.18062266774758554,19.827372550964355,0.2617044318879812,16.628347396850586,32,96
0007,2880,5760,10.24620994554354,0.0521875,2311,2128,0.163586003482399,20.605847358703613,0.29547641686942877,16.760247707366943,48,80
0007,0,960,12.507515186757866,0.023064236111111112,1765,1217,0.15985499365597247,24.271964073181152,0.16522644757207125,23.931694984436035,0,-16
0007,1920,2880,34.12393799626578,0.05064236111111111,11674,7415,0.15972503411311484,21.104063987731934,0.3285569682468457,14.602203369140625,96,80
0007,3840,1920,28.454171162497456,0.044348958333333334,10231,2406,0.1227927530309492,19.70737075805664,0.2918252566155593,13.588534832000732,32,-64
0007,2880,1920,26.79333933986745,0.03498263888888889,8166,2761,0.10649798049661871,22.90907859802246,0.25750461772949795,17.236125469207764,-64,80
0008,960,1920,30.478725460589132,0.048250868055555556,7957,4292,0.31012866763009717,16.424973487854004,0.42252460542263237,13.02246379852295,-32,-32
0008,2880,960,42.06501476214077,0.06442708333333333,11796,6317,0.28355618071277383,15.384406566619873,0.32552360484095266,13.658632755279541,-96,-80
0008,3840,2880,30.608623772814326,0.047174479166666665,6455,7269,0.26835541190273055,18.502965927124023,0.5019045703431296,11.016568183898926,-64,-96
0008,1920,2880,23.60924892622379,0.060386284722222225,5732,5424,0.2504152212977396,17.9146409034729,0.3778831609527883,12.17781686782837,-48,-96
0008,3840,0,18.88994469569417,0.02183159722222222,1823,1519,0.24735212431926787,19.341221809387207,0.2915787454440821,16.426594257354736,-96,16
0008,2880,1920,33.90139353328468,0.04220052083333333,8787,4163,0.23859290864471977,19.048124313354492,0.2891786007464788,16.101335048675537,32,96
0008,960,3840,23.990037280660193,0.0234375,7303,2488,0.22299611472704936,16.391637325286865,0.3642405501264282,13.200328826904297,-16,-16
0008,960,5760,20.935651779324843,0.03871961805555556,4273,2705,0.218729629043343,20.0609712600708,0.29975567623186256,15.421319961547852,0,-96
0009,2880,5760,33.552233550310774,0.0450390625,6828,4813,0.5216409259659166,10.317081928253174,0.5979155308093103,8.886923551559448,16,-32
0009,960,2880,27.560991640122793,0.059453125,7872,3330,0.5120607809214585,10.663986206054688,0.5976319473671222,8.807610750198364,0,16
0009,960,3840,36.20888969431453,0.07103732638888889,9976,6186,0.45789200697098237,10.698152542114258,0.4659617127777518,10.874026536941528,16,16
0009,1920,4800,30.972730418082097,0.07551649305555555,9849,7370,0.42260714596192295,11.607049942016602,0.46535958777606495,9.66832160949707,-16,16
0009,2880,960,29.103928714992698,0.04460503472222222,8480,6355,0.39754634896497315,11.994846820831299,0.4222599681529319,11.406607151031494,16,32
0009,960,5760,28.66662000351656,0.034830729166666664,4648,1897,0.39392228334242385,11.684032678604126,0.39392228334242385,11.684032678604126,0,0
0009,1920,1920,23.84542008131051,0.03432291666666667,5839,3636,0.38988878902649476,12.319508075714111,0.4501670336408954,11.027249813079834,16,0
0009,2880,2880,24.611405014082347,0.046688368055555554,4949,3097,0.34261700876085743,15.773234844207764,0.35012321888353787,15.934334754943848,0,-16
0010,3840,4800,25.29657169787836,0.06928385416666667,8420,9002,0.26359919614056293,16.12737512588501,0.32319726790026027,15.303869247436523,-32,0
0010,2880,960,30.100875543468153,0.058927951388888886,7080,8484,0.2274976094458072,17.583226203918457,0.2905654347239515,15.761906147003174,80,-32
0010,4481,4800,11.46726613238408,0.019253472222222224,1811,2879,0.20071363214462143,17.79284954071045,0.3848516366834186,13.302652835845947,16,80
0010,960,2880,20.268692601213118,0.053094618055555556,5135,4207,0.1999436992680442,20.902098655700684,0.39540582631490906,13.666354417800903,80,96
0010,2880,4800,22.733118735624203,0.05120225694444445,8303,5317,0.19544233248012696,18.52418041229248,0.24674302403045556,17.17257785797119,96,96
0010,1920,960,14.413664019242246,0.03141927083333333,3275,3750,0.1898257621927398,18.34182834625244,0.30295522916298,16.00734853744507,16,48
0010,3840,2880,39.97820953036478,0.01792534722222222,13257,2745,0.17251893007031113,18.572919368743896,0.2205500508133406,16.253556728363037,32,-32
0010,3840,960,27.775873903523387,0.02671875,10994,2096,0.17026453638960595,16.47975730895996,0.1856617299324289,16.064589977264404,0,-16
0011,4481,1920,10.306048731215242,0.04197048611111111,2161,1719,0.2553717255666932,17.43672752380371,0.27818597130283346,15.075957298278809,-16,16
0011,960,2880,11.747018126289026,0.03009548611111111,1553,1332,0.2514161212079116,21.101749420166016,0.2514161212079116,21.101749420166016,0,0
0011,3840,1920,15.42280086240431,0.030855034722222223,3657,3354,0.24424131243741537,19.075491905212402,0.24424131243741537,19.075491905212402,0,0
0011,3840,2880,22.849181574074105,0.04219184027777778,4543,3416,0.1787554248575343,18.253899574279785,0.3251813319657118,14.761729717254639,32,32
0011,3840,3840,18.95489130841466,0.04010416666666667,7127,4343,0.15338333876340077,20.59197425842285,0.3459761622022659,14.943573951721191,64,80
0011,1920,1920,21.162214308622428,0.04190972222222222,4034,4192,0.15104073552834105,20.938889503479004,0.24754052816218708,17.206547260284424,16,-96
0011,2880,960,24.701064587157557,0.05624565972222222,8573,5808,0.11249576636222886,23.02800464630127,0.2907817963220112,15.237338066101074,-96,96
0011,960,3840,11.930500988114998,0.09578993055555556,4086,4177,0.09498328002966501,23.960407257080078,0.327941637691992,14.40264368057251,96,80
0012,960,2880,32.94031758335496,0.08443142361111111,10611,4339,0.31088608508414634,14.04174518585205,0.37193694803963717,13.630989074707031,-32,-16
0012,960,3840,12.657450953518751,0.023025173611111113,2602,1277,0.23252228403548428,19.615955352783203,0.23704976466714572,18.151730060577393,0,-16
