rank,page,source_page,line_x,line_y,rough_x,rough_y,dx,dy,line_ink,line_edges,rough_edges,rough_std,edge_f1,chamfer,orientation_entropy,match_score
30,0005,page0005.clip,2160,5760,2264,5872,104,112,0.0219140625,1434,4071,22.697772627123367,0.6968430805300548,4.817996144294739,0.574094695638051,2.9798919303017675
31,0034,page0034.clip,2160,5760,2312,5936,152,176,0.05594618055555556,4595,8209,26.4125041450882,0.6743566823421026,5.174544334411621,0.7722319116573101,2.9546600741540363
32,0011,page0011.clip,720,5040,872,5176,152,136,0.0541015625,2947,3329,16.364416538396384,0.6808834938164561,5.282650113105774,0.7185454664761699,2.922723819642061
33,0008,page0008.clip,2880,4320,2808,4256,-72,-64,0.03404513888888889,2175,5735,23.153808701915995,0.6886781556824956,4.853195071220398,0.4727629929460727,2.850962158525257
34,0040,page0040.clip,720,3600,640,3792,-80,192,0.08714409722222222,10300,8697,26.865607188548243,0.6902056794815493,5.422461032867432,0.564315856511513,2.817988876043471
35,0029,page0029.clip,2160,2160,2280,2272,120,112,0.01189236111111111,952,1092,16.51200518120579,0.7440022696206122,6.676404714584351,0.5349337164786804,2.812677378369135
36,0040,page0040.clip,2880,2880,2760,3072,-120,192,0.06703125,6317,10928,29.186529891350332,0.6623461708750714,5.779163599014282,0.7717434950091354,2.773292930579809
37,0034,page0034.clip,2160,4320,2312,4512,152,192,0.04779513888888889,2985,4642,21.615554530262443,0.660488302081227,5.463133096694946,0.6796481008598421,2.7535333717550197
38,0032,page0032.clip,3600,4320,3520,4264,-80,-56,0.060360243055555554,4930,10609,31.07130036337429,0.6481788914728918,5.292358994483948,0.6856613200687075,2.730951714522635
39,0028,page0028.clip,720,5040,904,5232,184,192,0.07563368055555555,3679,5582,23.001260325202423,0.665314950916441,5.228939056396484,0.525695297108717,2.701343180989882
40,0025,page0025.clip,4320,2160,4352,2312,32,152,0.016879340277777776,960,1953,23.597555957714018,0.6702995606851475,4.501051545143127,0.3038308953083581,2.6943522106437987
41,0032,page0032.clip,720,2160,768,2208,48,48,0.018441840277777777,1647,2892,12.83436910662918,0.6580775591760648,5.6518025398254395,0.6580943955484606,2.6865028043540047
42,0033,page0033.clip,720,4320,904,4496,184,176,0.04703125,3071,6335,27.269869406551496,0.6630147641581349,6.18611752986908,0.7404871802199683,2.6702400589928335
43,0032,page0032.clip,1440,720,1464,848,24,128,0.017395833333333333,1337,2824,16.40073781957007,0.6892223458827443,6.217404723167419,0.5744405354982506,2.662183213178838
44,0033,page0033.clip,1440,4320,1600,4504,160,184,0.0316796875,2782,4406,19.176209648282835,0.6820031519770424,5.978808641433716,0.558434755900926,2.66100183631921
45,0009,page0009.clip,4320,3600,4344,3656,24,56,0.023871527777777776,2052,4114,20.374937167856707,0.6431339196592359,5.77904736995697,0.7400150745098527,2.6518721839126678
46,0033,page0033.clip,1440,5040,1600,5192,160,152,0.027578125,3707,4713,23.73274631404347,0.6964066387079518,6.55040979385376,0.56047985969345,2.6203351225237674
47,0011,page0011.clip,2160,2160,2296,2352,136,192,0.07397135416666667,5490,9005,34.04332052501094,0.6476272897285481,5.64641547203064,0.6222035675765447,2.606616208297848
48,0033,page0033.clip,2160,4320,2288,4504,128,184,0.031158854166666666,3236,4859,23.665425800170137,0.617516185209965,5.667179822921753,0.8062393060168757,2.5991364062789746
49,0032,page0032.clip,3600,2880,3520,2904,-80,24,0.033854166666666664,4755,6167,22.951948973141327,0.6711445471716769,6.06793212890625,0.5624210052425213,2.5920731142711517
50,0016,page0016.clip,0,5040,0,5224,0,184,0.017235243055555554,986,1637,15.173560095815013,0.7108539663631981,6.406143069267273,0.384470230151842,2.5806174020840094
51,0007,page0007.clip,1440,720,1256,848,-184,128,0.015894097222222223,1633,2358,10.037727176219768,0.7347468409803021,6.76894211769104,0.32024166590302,2.5761391140857186
52,0027,page0027.clip,2160,5040,2288,5232,128,192,0.05500868055555556,4063,6896,25.935060502013542,0.6188653049011881,5.805171251296997,0.7715412393772029,2.5505252657483033
53,0011,page0011.clip,2880,2880,2992,3072,112,192,0.030299479166666667,2895,4715,16.11174047959667,0.6347191824888276,6.003768444061279,0.7200042400188177,2.5488456156469366
54,0034,page0034.clip,1440,5760,1616,5928,176,168,0.040581597222222224,3438,4714,20.3982756753011,0.6728851667165335,6.945341110229492,0.7152601557109897,2.547565736105561
55,0034,page0034.clip,2160,5040,2312,5224,152,184,0.03752604166666667,3710,7716,28.65482286083979,0.6378542411451612,5.757161617279053,0.6181270323954577,2.532340508186362
56,0005,page0005.clip,2880,3600,2952,3792,72,192,0.04036024305555556,3694,4456,23.27176097044369,0.6785686599750848,7.597243070602417,0.7953177897326051,2.5096489175410244
57,0011,page0011.clip,3600,5040,3696,5128,96,88,0.031041666666666665,1392,2426,13.090045737344122,0.6339740369172777,5.2309205532073975,0.4705171206953803,2.5000997705012136
